Country,ISO3,Region
Argentina,ARG,Latin America & Caribbean
Armenia,ARM,Europe & Central Asia
Australia,AUS,East Asia & Pacific
Bangladesh,BGD,South Asia
Brazil,BRA,Latin America & Caribbean
Canada,CAN,North America
Chile,CHL,Latin America & Caribbean
China,CHN,East Asia & Pacific
Cyprus,CYP,Europe & Central Asia
Czechia,CZE,Europe & Central Asia
Ecuador,ECU,Latin America & Caribbean
Egypt,EGY,Middle East & North Africa
Ethiopia,ETH,Sub-Saharan Africa
France,FRA,Europe & Central Asia
Germany,DEU,Europe & Central Asia
Greece,GRC,Europe & Central Asia
Guatemala,GTM,Latin America & Caribbean
India,IND,South Asia
Indonesia,IDN,East Asia & Pacific
Iran,IRN,Middle East & North Africa
Ireland,IRL,Europe & Central Asia
Japan,JPN,East Asia & Pacific
Jordan,JOR,Middle East & North Africa
Kazakhstan,KAZ,Europe & Central Asia
Kenya,KEN,Sub-Saharan Africa
South Korea,KOR,East Asia & Pacific
Kyrgyzstan,KGZ,Europe & Central Asia
Lebanon,LBN,Middle East & North Africa
Malaysia,MYS,East Asia & Pacific
Mexico,MEX,Latin America & Caribbean
Mongolia,MNG,East Asia & Pacific
Morocco,MAR,Middle East & North Africa
Myanmar,MMR,East Asia & Pacific
Netherlands,NLD,Europe & Central Asia
New Zealand,NZL,East Asia & Pacific
Nicaragua,NIC,Latin America & Caribbean
Nigeria,NGA,Sub-Saharan Africa
Pakistan,PAK,South Asia
Peru,PER,Latin America & Caribbean
Philippines,PHL,East Asia & Pacific
Romania,ROU,Europe & Central Asia
Russia,RUS,Europe & Central Asia
Serbia,SRB,Europe & Central Asia
Singapore,SGP,East Asia & Pacific
Slovakia,SVK,Europe & Central Asia
Tajikistan,TJK,Europe & Central Asia
Thailand,THA,East Asia & Pacific
Tunisia,TUN,Middle East & North Africa
Turkey,TUR,Europe & Central Asia
Ukraine,UKR,Europe & Central Asia
United Kingdom,GBR,Europe & Central Asia
United States,USA,North America
Uruguay,URY,Latin America & Caribbean
Uzbekistan,UZB,Europe & Central Asia
Vietnam,VNM,East Asia & Pacific
